,Year,InitNumber,Title,Qualified/Failed,PropNum,Appoved/Rejected,ElectionYear
4,1912,,Abolition of Death Penalty,F,,,
5,1912,,Formation of Consolidated City and County Governments (CA),Q,,R,1912
6,1912,,Prohibit Bookmaking and Appointment of Racing Commission (S),Q,,R,1912
7,1912,,Relating to Taxation by Counties-Cities (CA),Q,,R,1912
8,1912,,Abolition of the Poll Tax (CA),Q,10,A,1914
10,1913,,Sale of School Lands,F,,,
11,1913,,Prohibition (CA),Q,2,R,1914
12,1913,,Prize Fights (S),Q,20,A,1914
13,1913,,Land Title Law (S),Q,22,A,1914
14,1913,,Qualifications for Voters at Bond Elections (CA),Q,13,R,1914
16,1914,,Board of Public Industry,F,,,
17,1914,,Fish and Game Commission,F,,,
18,1914,,Irrigation Bonds,F,,,
19,1914,,Land Settlements,F,,,
20,1914,,Minimum Wage,F,,,
21,1914,,Personal Property Tax Exemption,F,,,
22,1914,,"$1,000 Tax Exemption",F,,,
23,1914,,Voting by Mail,F,,,
24,1914,,White Plague Bonds,F,,,
25,1914,,Eight Hour Law (S),Q,3,R,1914
26,1914,,Regulating Investment Companies (CA),Q,9,R,1914
27,1914,,University of California Bond Elections (S),Q,11,A,1914
28,1914,,Voting by Absentee Electors (S),Q,14,R,1914
29,1914,,Deposit of Public Monies (CA),Q,15,R,1914
30,INITIATIVENUMBER,,,,,,
32,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
34,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
36,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
38,ELECTIONYEAR,,,,,,
44,1914,,"Consolidation of City, County and Limited Annexation of ContiguousTerritory (CA)",Q,19,A,1914
45,1914,,"City and County Consolidation, and Annexation with Consent ofAnnexed Territory (CA)",Q,21,R,1914
46,1914,,Los Angeles State Building Bonds (S),Q,38,R,1914
47,1914,,Suspension of Prohibition Amendment (CA),Q,39,A,1914
48,1914,,One Day of Rest in Seven (S),Q,45,R,1914
49,1914,,Drugless Practice (S),Q,46,R,1914
50,1914,,Prohibits Elections - Prohibition Elections (CA),Q,47,R,1914
53,1915,,Prohibition (CA),Q,1,R,1916
54,1915,,Prohibition (CA),Q,2,R,1916
57,1916,,Appellate Courts,F,,,
58,1916,,Land Taxation (CA),Q,5,R,1916
59,1916,,Ineligibility to Office (CA),Q,6,A,1916
61,1917,,Liquor Regulation (S),Q,1,R,1918
63,1918,,Alcoholic Beverages,F,,,
64,1918,,Permitting Chiropracty,F,,,
65,1918,,Usury Law (S),Q,3,A,1918
66,1918,,County and School Tax Limitations (S),Q,18,R,1918
67,1918,,Land Values Taxation (CA),Q,19,R,1918
68,1918,,Dentistry (S),Q,21,R,1918
69,1918,,Prohibition (S),Q,22,R,1918
71,1919,,Academy for the Blind,F,,,
72,INITIATIVENUMBER,,,,,,
74,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
76,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
78,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
80,ELECTIONYEAR,,,,,,
86,1919,,Chiropractic (S),Q,5,R,1920
88,1920,,Amendment to Land Settlement Act,F,,,
89,1920,,Insurance Rating Bureaus,F,,,
90,1920,,Regulation of Fees for Private Employment Agencies,F,,,
91,1920,,Repeal of Criminal Syndicalism Act,F,,,
92,1920,,State Market Commission,F,,,
93,1920,,Alien Land Law (S),Q,1,A,1920
94,1920,,Salaries of Justices (CA),Q,3,R,1920
95,1920,,Initiative (CA),Q,4,R,1920
96,1920,,Prohibiting Compulsory Vaccination (CA),Q,6,R,1920
97,1920,,Prohibition of Vivisection (S),Q,7,R,1920
98,1920,,Highway Bonds (CA),Q,9,A,1920
99,1920,,State University Tax (CA),Q,12,R,1920
100,1920,,School System (CA),Q,16,A,1920
101,1920,,Land Values Taxation (CA),Q,20,R,1920
103,1921,,Taxation of Publicly Owned Public Utilities (CA),Q,10,R,1922
104,1921,,Regulation of Publicly Owned Public Utilities (CA),Q,11,R,1922
105,1921,,State Budget (CA),Q,12,A,1922
106,1921,,Chiropractic (S),Q,16,A,1922
107,1921,,Water and Power (CA),Q,19,R,1922
108,1921,,Osteopathic Act (S),Q,20,A,1922
110,1922,,Establishment of Merit System for State Civil Service,F,,,
111,1922,,"Horse Racing, Creation of State Racing Commission",F,,,
112,1922,,Legislative Districts - Changes Methods of Selecting Members of theLegislature,F,,,
113,1922,,Requires Compulsory Education - Age 7-16,F,,,
114,1922,,Veterans Welfare Bond Act,F,,,
115,INITIATIVENUMBER,,,,,,
117,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
119,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
121,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
123,ELECTIONYEAR,,,,,,
129,1922,,Veterans Validating Act (CA),Q,1,A,1922
130,1922,,Initiative (CA),Q,27,R,1922
131,1922,,Prohibiting Vivisection (S),Q,28,R,1922
132,1922,,Land Franchise Taxation (CA),Q,29,R,1922
133,1922,,Franchises (CA),Q,30,R,1922
135,1924,,Legislative Districts - Reapportionment,F,,,
136,1924,,Motor Vehicle Gasoline Taxes,F,,,
137,1924,,State Taxation of Highway Transportation  Companies (CA),Q,1,R,1924
138,1924,,Boxing and Wrestling Contests (S),Q,7,A,1924
139,1924,,Klamath River Fish and Game District (S),Q,11,A,1924
140,1924,,Water and Power (CA),Q,16,R,1924
141,1924,,Requiring Bible in Schools (CA),Q,17,R,1926
143,1925,,Horse Racing,F,,,
144,1925,,Taxing on Fire Insurance Companies,F,,,
146,1926,,Blind Commission,F,,,
147,1926,,Horse Racing,F,,,
148,1926,,Gasoline Tax (S),Q,4,R,1926
149,1926,,Racing (S),Q,6,R,1926
150,1926,,State Highways (CA),Q,8,R,1926
151,1926,,Repeal of the Wright Act (S),Q,9,R,1926
152,1926,,Water and Power (CA),Q,18,R,1926
153,1926,,Reapportionment Commission (CA),Q,20,R,1926
154,1926,,Legislative Reapportionment (CA),Q,28,A,1926
156,1928,,Health Boards and Nonmedical Practitioners in Public Hospitals,F,,,
157,1928,,Boxing and Wrestling Contests (S),Q,5,R,1928
158,INITIATIVENUMBER,,,,,,
160,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
162,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
164,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
166,ELECTIONYEAR,,,,,,
172,1928,,Prohibiting Certain Acts with Animals and Use of CertainInstruments to Control Them (S),Q,21,R,1928
174,1930,,Chiropractic Act,F,,,
175,1930,,Daylight Saving Act (S),Q,7,R,1930
176,1930,,Usury Law (S),Q,10,R,1930
177,1930,,Fish and Game (CA),Q,11,R,1930
178,1930,,Registration of Voters (S),Q,14,A,1930
